item,item-href,title,product details,material,product code,images link-src
BuckleUpMen Leather BeltRs. 388Rs. 1295(70% OFF)Sizes: 40,https://www.myntra.com/belts/buckleup/buckleup-men-black--brown-leather-belt/1241843/buy,BuckleUp Men Black & Brown Leather Belt,"Black and brown textured belt
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1241843,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241843/2016/2/29/11456736388221-BuckleUp-Men-Belts-9681456736388108-2.jpg"
Peter EnglandMen Leather BeltRs. 1169Rs. 1299(10% OFF)Sizes: 42,https://www.myntra.com/belts/peter-england/peter-england-statements-men-brown-leather-belt/1796682/buy,Peter England Statements Men Brown Leather Belt,"Brown leather belt
Secured with a push-pin clasp
Has holes for a customised fit
Warranty: 3 months against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1796682,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1796682/2017/4/5/11491381219072-Peter-England-Men-Belts-721491381206706-1.jpg"
BuckleUpMen Leather BeltRs. 402Rs. 1149(65% OFF)Sizes: 40,https://www.myntra.com/belts/buckleup/buckleup-men-brown-leather-belt/1734719/buy,BuckleUp Men Brown Leather Belt,"Brown leather belt
Secured with a tang clasp and a fixed loop to hold the belt in place
Holes for a customised fit
Warranty: 3 months","Leather
Wipe with a clean, dry cloth when needed",1734719,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1734719/2017/1/23/11485161143038-BuckleUp-Men-Brown-Leather-Belt-9711485161143037-3.jpg"
"Pacific GoldMen BeltRs. 411Rs. 549(25% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-belt/997919/buy,Pacific Gold Men Black Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",997919,"https://assets.myntassets.com/h_640,q_90,w_480/v1/image/style/properties/997919/Pacific-Gold-Men-Belts_2_f3f0060b94a2c3503e3700cf55e7639e.jpg"
BuckleUpMen BeltRs. 399Rs. 999(60% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-tan-brown-belt/1791342/buy,BuckleUp Men Tan Brown Belt,"Tan brown belt 
Secured with a tang clasp 
Has holes for a customised fit
Warranty: 3 months","Synthetic leather
Wipe with a clean, dry cloth when needed",1791342,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1791342/2017/3/7/11488868420441-BuckleUp-Men-Belts-2071488868420349-2.jpg"
"Pacific GoldMen Reversible BeltRs. 399Rs. 799(50% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black--brown-reversible-belt/1699906/buy,Pacific Gold Men Black & Brown Reversible Belt,"Black and brown reversible belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1699906,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1699906/2016/12/24/11482575035732-Pacific-Gold-Men-Belts-9091482575035608-1.jpg"
"BuckleUpMen Leather BeltRs. 388Rs. 1295(70% OFF)Sizes: 36, 40",https://www.myntra.com/belts/buckleup/buckleup-men-black-leather-belt/1241790/buy,BuckleUp Men Black Leather Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1241790,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241790/2016/2/29/11456738218021-BuckleUp-Men-Belts-2081456738217935-2.jpg"
"CHISELMen Textured Leather BeltRs. 854Rs. 1899(55% OFF)Sizes: 28, 30, 32, 34",https://www.myntra.com/belts/chisel/chisel-men-black-textured-leather-belt/1984488/buy,CHISEL Men Black Textured Leather Belt,"Black textured belt
Reversible: No
Stretchable: No
Secured with a push pin closure
Warranty: 3 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1984488,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1984488/2017/7/7/11499407522569-Chisel-Leather-Belt-4121499407522514-3.jpg"
BuckleUpMen Leather BeltRs. 523Rs. 1495(65% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-tan-brown-leather-belt/1229411/buy,BuckleUp Men Tan Brown Leather Belt,"Tan brown textured leather belt
Secured with tang clasp
Has holes for customized fit","Leather
Wipe with a clean, dry cloth when needed",1229411,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1229411/2016/2/19/11455860794864-BuckleUp-Men-Belts-2741455860794834-3.jpg"
"Pacific GoldMen Reversible BeltRs. 449Rs. 899(50% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black--brown-reversible-belt/1699907/buy,Pacific Gold Men Black & Brown Reversible Belt,"Black and brown reversible belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1699907,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1699907/2016/12/24/11482575045894-Pacific-Gold-Men-Belts-7081482575045802-3.jpg"
